"WATERSHED","PRECIP","ALTERATION_FLASHINESS"
"020700041009",41.8491210938,391.662373478722
"020700040807",41.8580279302,311.918823094453
"390730607711439_020700081001",43.0637016296,303.880913105337
"390609307715160_020700081001",43.0637016296,300.245302426565
"390609707702164_020700100201",43.0637016296,299.186297944769
"390436507701016_020700100201",43.0637016296,296.966936133267
"390523307655338_020700100202",43.0637016296,289.486672472554
"390643207713221_020700081001",43.0637016296,288.219510532779
"390521307658320_020700100202",43.0637016296,277.27243161279
"020700041104",41.8491210938,273.496908522866
"390240507712534_020700081002",43.0637016296,267.52611533552
"020700081001",43.0637016296,256.579455543431
"390213407709328_020700081003",43.0637016296,254.982804742217
"020700100101",43.0637016296,231.84745310887
"390539707657305_020700100202",43.0637016296,227.743666908876
"020700081002",43.0637016296,223.615716727392
"390617507658436_020700100202",43.0637016296,223.571292821799
"390538007659391_020700100202",43.0637016296,219.904769818164
"385943107655080_020700100203",43.50365448,218.221402975536
"390429507655488_020700100202",43.0643030689,214.747783142397
"385755307706227_020700081005",43.0637016296,213.076162501107
"391044407708038_020700100101",43.0637016296,212.380813567927
"020700041006",41.9023290687,210.803807424684
"390048607704278_020700100102",43.0637016296,207.591196790232
"390749907705460_020700100101",43.0637016296,206.927249820998
"390941407708159_020700100101",43.0637016296,203.49321392511
"390510007706241_020700100101",43.0637016296,203.456396513454
"020700100201",43.1700795598,202.553266197848
"384248707710030_020700100306",43.4834611424015,201.078690359888
"385942707703569_020700100102",43.0637016296,200.865639124673
"020700100102",43.1629496009,193.612019162989
"384248707710030_020700081004",43.4834611424015,186.606727646072
"385935207656161_020700100202",43.50365448,186.369971108253
"020700081003",43.0637016296,184.972406109801
"020700100302",43.2835608364,183.686266115709
"020700080802",43.0637016296,179.133616441881
"390259507713263_020700081002",43.0637016296,174.032506504251
"385057607727504_020700100704",43.3263587952,169.843493733241
"385331107727480_020700100704",43.3263587952,167.286078317077
"390402407656178_020700100202",43.0637016296,165.611938948307
"390006107656124_020700100202",43.50365448,164.832983867256
"020700100202",43.2432734337,163.49063833649
"390921307708075_020700100101",43.0637016296,162.048815995645
"020700041008",41.8515755998,156.476326422662
"390725107705408_020700100101",43.0637016296,154.359937427413
"020700041007",41.851682663,148.571932096757
"390618507701585_020700100201",43.0637016296,144.454432013181
"390327707654324_020700100203",43.50365448,142.793436436665
"390323907652566_020700100203",43.50365448,131.547552330244
"390910307706184_020700100101",43.0637016296,125.727417058798
"020700080801",43.0637016296,122.467994195749
"390340707714282_020700081002",43.0637016296,115.88653467269
"384248707710030_020700100402",43.4834611424015,110.660399419891
"020700081004",43.3313229889,109.113782212244
"384928707721436_020700100705",43.3263587952,109.011101308707
"020700041004",41.8507591796,106.97552089832
"020700041001",42.5035823368,106.320856111217
"020700100203",43.50365448,105.118194085734
"020700080905",42.8645908746,100.983175567546
"020700081005",43.2131124277,100.637853384113
