"","Area","Karst","Precip","Soil Erodibility Factor","Mean Soil Erodibility","Physiographic Province","Average Watershed Slope","Soil Group","Ecoregion","Ecoregion4","Ecoregion3"
"Area",1,"","","","","","","","","",""
"Karst",0.21,"1","","","","","","","","",""
"Precip",-0.11,"-0.17","1","","","","","","","",""
"Soil Erodibility Factor",-0.14,"0.22","0.39","1","","","","","","",""
"Mean Soil Erodibility",-0.03,"0.11","0.34","0.64","1","","","","","",""
"Physiographic Province",0.14,"0.42","-0.71","-0.2","-0.3","1","","","","",""
"Average Watershed Slope",0.13,"-0.19","-0.42","-0.76","-0.73","0.27","1","","","",""
"Soil Group",-0.07,"-0.12","0.04","0.06","0.04","-0.05","-0.13","1","","",""
"Ecoregion",-0.13,"0.4","-0.29","0.16","-0.05","0.5","-0.04","0","1","",""
"Ecoregion4",-0.08,"-0.26","-0.37","-0.56","-0.56","0.28","0.64","0.01","0.12","1",""
"Ecoregion3",-0.06,"0.16","-0.35","-0.3","-0.43","0.42","0.44","-0.02","0.56","0.78","1"
